,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
34,2017-09-23,21:00,Série A,Matchweek 25,Sat,Home,W,1,0,Ath Paranaense,45.0,4257.0,Ricardo Oliveira,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,21,6,,0,0,2017,Santos
35,2017-09-30,19:00,Série A,Matchweek 26,Sat,Away,W,1,0,Palmeiras,38.0,37527.0,Ricardo Oliveira,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,8,4,,0,0,2017,Santos
36,2017-10-12,17:00,Série A,Matchweek 27,Thu,Away,D,1,1,Ponte Preta,59.0,13892.0,Ricardo Oliveira,4-2-3-1,Raphael Claus,Match Report,,13,5,,0,0,2017,Santos
37,2017-10-16,20:00,Série A,Matchweek 28,Mon,Home,D,2,2,Vitória,54.0,19007.0,Ricardo Oliveira,4-2-3-1,Braulio da Silva Machado,Match Report,,13,5,,0,0,2017,Santos
38,2017-10-19,20:00,Série A,Matchweek 29,Thu,Away,D,1,1,Sport Recife,48.0,14802.0,Ricardo Oliveira,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,8,3,,0,0,2017,Santos
39,2017-10-22,17:00,Série A,Matchweek 30,Sun,Home,W,1,0,Atl Goianiense,56.0,4245.0,Ricardo Oliveira,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,18,8,,0,0,2017,Santos
40,2017-10-28,17:00,Série A,Matchweek 31,Sat,Away,L,1,2,São Paulo,54.0,40004.0,Renato,4-2-3-1,Anderson Daronco,Match Report,,7,2,,0,0,2017,Santos
41,2017-11-04,17:00,Série A,Matchweek 32,Sat,Home,W,3,1,Atlético Mineiro,50.0,11418.0,Ricardo Oliveira,4-2-3-1,Wilton Sampaio,Match Report,,15,5,,0,0,2017,Santos
42,2017-11-08,21:45,Série A,Matchweek 33,Wed,Home,L,1,2,Vasco da Gama,57.0,7841.0,Ricardo Oliveira,4-2-3-1,Rafael Traci,Match Report,,8,3,,0,0,2017,Santos
43,2017-11-13,20:00,Série A,Matchweek 34,Mon,Away,L,0,2,Chapecoense,56.0,11301.0,Ricardo Oliveira,4-3-3,Jailson Macêdo Freitas,Match Report,,9,3,,0,0,2017,Santos
